"wages","sex"
68500,"female"
65500,"female"
58000,"female"
75000,"female"
63500,"female"
69500,"female"
59000,"female"
71000,"female"
67000,"female"
59500,"female"
73500,"female"
61500,"female"
67500,"female"
58000,"female"
74500,"female"
62000,"female"
59500,"female"
70000,"female"
66000,"female"
65000,"female"
58500,"female"
72000,"female"
68000,"female"
65000,"female"
59000,"female"
73500,"female"
61500,"female"
67500,"female"
58000,"female"
74000,"female"
62500,"female"
59000,"female"
70500,"female"
66000,"female"
65000,"female"
58500,"female"
72000,"female"
68500,"female"
65000,"female"
59000,"female"
74000,"female"
61000,"female"
67000,"female"
59500,"female"
73000,"female"
61500,"female"
67500,"female"
58000,"female"
74500,"female"
62000,"female"
59500,"female"
70000,"female"
66000,"female"
65000,"female"
58500,"female"
72000,"female"
68000,"female"
65000,"female"
59000,"female"
73500,"female"
61500,"female"
67500,"female"
58000,"female"
74000,"female"
62500,"female"
59000,"female"
70500,"female"
66000,"female"
65000,"female"
58500,"female"
72000,"female"
68000,"female"
65000,"female"
59000,"female"
74500,"female"
61500,"female"
67500,"female"
58000,"female"
73000,"female"
61000,"female"
67000,"female"
59500,"female"
74000,"female"
62500,"female"
59000,"female"
70000,"female"
66000,"female"
65000,"female"
58500,"female"
72000,"female"
68000,"female"
65000,"female"
59000,"female"
73500,"female"
61500,"female"
67500,"female"
58000,"female"
74000,"female"
62500,"female"
59000,"female"
70500,"male"
66000,"male"
65000,"male"
58500,"male"
72000,"male"
62000,"male"
68000,"male"
70000,"male"
65000,"male"
63000,"male"
60000,"male"
58000,"male"
71000,"male"
73000,"male"
69000,"male"
66000,"male"
64000,"male"
61000,"male"
59000,"male"
72000,"male"
74000,"male"
65000,"male"
63000,"male"
60000,"male"
58000,"male"
71000,"male"
73000,"male"
69000,"male"
66000,"male"
64000,"male"
61000,"male"
59000,"male"
72000,"male"
74000,"male"
65000,"male"
63000,"male"
60000,"male"
58000,"male"
71000,"male"
73000,"male"
69000,"male"
66000,"male"
64000,"male"
61000,"male"
59000,"male"
72000,"male"
74000,"male"
65000,"male"
63000,"male"
60000,"male"
58000,"male"
71000,"male"
73000,"male"
69000,"male"
66000,"male"
64000,"male"
61000,"male"
59000,"male"
72000,"male"
74000,"male"
65000,"male"
63000,"male"
60000,"male"
58000,"male"
71000,"male"
73000,"male"
69000,"male"
66000,"male"
64000,"male"
61000,"male"
59000,"male"
72000,"male"
74000,"male"
65000,"male"
63000,"male"
60000,"male"
58000,"male"
71000,"male"
73000,"male"
69000,"male"
66000,"male"
64000,"male"
61000,"male"
59000,"male"
72000,"male"
74000,"male"
65000,"male"
63000,"male"
60000,"male"
58000,"male"
71000,"male"
73000,"male"
69000,"male"
66000,"male"
64000,"male"
61000,"male"
59000,"male"
72000,"male"
74000,"male"
65000,"male"
