number,symbol,company,perc_change,price,volume,market_cap,date
1,BTTC,Black Titan Corporation,-61.43,9.25,2851329,12300000,2025-10-04
2,LPTX,"Leap Therapeutics, Inc.",-26.919999999999998,0.534,7003702,22110000.000000004,2025-10-04
3,AQB,"AquaBounty Technologies, Inc.",-20,2.2800000000000002,776636,8840000,2025-10-04
4,OMSE,OMS Energy Technologies Inc.,-18.17,3.3099999999999996,182637,140510000,2025-10-04
5,NUAI,"New Era Energy & Digital, Inc.",-16.32,1.59,22656176,45200000,2025-10-04
6,BINI,"Bollinger Innovations, Inc.",-15.89,1.8,3050392,910959999.9999999,2025-10-04
7,MSGY,Masonglory Limited,-15.49,2.51,1911763,35700000,2025-10-04
8,SPRC,SciSparc Ltd.,-15.48,4.75,467629,2540000,2025-10-04
9,WGRX,"Wellgistics Health, Inc.",-15.33,0.6779999999999999,3014595,50200000,2025-10-04
10,RDHL,RedHill Biopharma Ltd.,-14.41,1.9,228445,6330000,2025-10-04
11,PTNM,Pitanium Limited,-14.27,10.39,1490723,239100000,2025-10-04
12,MB,MasterBeef Group,-13.92,8.350000000000001,20455,143239999.99999997,2025-10-04
13,ENFY,Enlightify Inc.,-13.7,0.803,66914,12660000,2025-10-04
14,SMX,SMX (Security Matters) Public Limited Company,-13.66,1.3900000000000001,27940447,1780000,2025-10-04
15,WETO,Webus International Limited,-13.56,1.699,578223,37879999.99999999,2025-10-04
16,TVGN,Tevogen Bio Holdings Inc.,-13.54,0.6739999999999999,1760235,132560000,2025-10-04
17,PC,Premium Catering (Holdings) Limited,-12.92,11.05,914895,35849999.99999999,2025-10-04
18,RLMD,"Relmada Therapeutics, Inc.",-12.78,2.32,974261,77000000,2025-10-04
19,BENF,Beneficient,-12.7,0.891,5335752,8629999.999999998,2025-10-04
20,DVLT,Datavault AI Inc.,-12.42,1.34,75746562,156380000.00000003,2025-10-04
