Brand,Flavor,Rating,Price,Bar_Amount
Barebells,Cookies & Caramel,4.0,28.99,12
Barebells,Lemon Cheesecake,4.0,28.99,12
Barebells,Chocolate Dough,4.0,28.99,12
Barebells,Creamy Crisp,4.0,28.99,12
Barebells,Cookies & Cream,4.0,28.99,12
Barebells,Peanut Butter,4.0,28.99,12
Barebells,Wild Cherry,4.0,28.99,12
Barebells,Salty Peanut,4.0,28.99,12
Barebells,Caramel Cashew,4.0,28.99,12
Barebells,Salted Peanut Caramel,4.5,28.99,12
Barebells,Caramel Choco,4.5,28.99,12
Barebells,Marshmallow Peanut Road,4.5,28.99,12
Barebells,Birthday Cake,4.0,28.99,12
Barebells,Minty Chocolate,4.5,28.99,12
Barebells,Banana Caramel,4.5,28.99,12
GNC Total Lean®,Vanilla Birthday Cake,4.5,12.99,5
Barebells,Caramel Choco Chip,4.0,28.99,12
GNC Total Lean®,Chocolate Mint,4.5,21.99,9
Quest®,NA,4.5,34.99,12
GNC Total Lean®,Peanut Butter Pie,4.5,21.99,9
Final Boss Performance,Peanut Butter,5.0,34.99,12
GNC Total Lean®,Coconut Caramel,4.5,21.99,9
Barebells,Fudge Brownie,4.0,28.99,12
Final Boss Performance,Monster Cookie Crunch,5.0,34.99,12
GNC Total Lean®,Whipped Chocolate Mousse,4.5,21.99,9
Final Boss Performance,Marshmallow Fluff n' Butter,5.0,34.99,12
Quest®,Pumpkin Pie,4.5,34.99,12
Barebells,Caramel Peanut,4.0,28.99,12
Quest®,NA,4.5,34.99,12
Final Boss Performance,S'Mores,5.0,34.99,12
