number,symbol,company,perc_change,price,volume,market_cap,date
1,EPSM,Epsium Enterprise Limited,78.58,26.93,7154837,361890000,2025-10-04
2,DFLI,Dragonfly Energy Holdings Corp.,76.64,1.89,339193124,116690000,2025-10-04
3,BNAI,"Brand Engagement Network, Inc.",69.44000000000001,0.602,208101362,25860000,2025-10-04
4,ASNS,"Actelis Networks, Inc.",68.84,0.625,351162357,10370000.000000002,2025-10-04
5,ANRO,"Alto Neuroscience, Inc.",56.24,6.89,61880645,186560000,2025-10-04
6,FEMY,Femasys Inc.,51.87,0.63,26508939,27100000,2025-10-04
7,GIPR,"Generation Income Properties, Inc.",51.849999999999994,1.64,14841284,8930000,2025-10-04
8,ELPW,Elong Power Holding Limited,49.3,0.49,108208059,28939999.999999996,2025-10-04
9,SYTA,Siyata Mobile Inc.,37.61,3.22,31274790,39890000,2025-10-04
10,XELB,"Xcel Brands, Inc.",37.57,2.38,32503395,11330000,2025-10-04
11,MFH,Mercurity Fintech Holding Inc.,36.09,29.41,673351,2030000,2025-10-04
12,PLUG,Plug Power Inc.,34.63,3.81,499431276,4510000,2025-10-04
13,NEUP,Neuphoria Therapeutics Inc.,32.92,19.46,231318,45879999.99999999,2025-10-04
14,LAC,Lithium Americas Corp.,31.78,9.04,191268990,2190000,2025-10-04
15,SHOT,"Safety Shot, Inc.",31.74,0.37,63905804,61420000,2025-10-04
16,CLNN,Clene Inc.,31.21,10.51,586038,105840000,2025-10-04
17,ILLR,Triller Group Inc.,28.01,0.981,1028246,171960000,2025-10-04
18,ACIU,AC Immune SA,27.479999999999997,3.99,1072899,394780000,2025-10-04
19,RBOT,Vicarious Surgical Inc.,27.21,7.06,570862,42020000,2025-10-04
20,NNNN,Anbio Biotechnology,26.610000000000003,32.16,647399,1410000,2025-10-04
1,PRAX,"Praxis Precision Medicines, Inc.",183.70999999999998,162.71,13721069,3420000,2025-10-16
2,RYOJ,"rYojbaba Co., Ltd.",119.35,4.76,28725450,53550000,2025-10-16
3,IVF,"INVO Fertility, Inc.",85.67999999999999,1.4,220545655,6109999.999999999,2025-10-16
4,SOND,Sonder Holdings Inc.,79.35,1.65,37535103,21050000,2025-10-16
5,APLM,"Apollomics, Inc.",64,31.98,271314,68630000,2025-10-16
6,ELWS,"Earlyworks Co., Ltd",38.59,5.1,31495338,15380000,2025-10-16
7,MIRA,"MIRA Pharmaceuticals, Inc.",36.36,1.8,113702253,34320000,2025-10-16
8,CLPS,CLPS Incorporation,35.56,1.62,1455270,45340000,2025-10-16
9,FEMY,Femasys Inc.,35.379999999999995,0.745,88685149,32060000.000000004,2025-10-16
10,REE,REE Automotive Ltd.,29.03,1.4,16579289,39540000,2025-10-16
11,SNSE,"Sensei Biotherapeutics, Inc.",28.52,17.58,122861,22170000,2025-10-16
12,NXTC,"NextCure, Inc.",27.75,8.7,353580,23279999.999999996,2025-10-16
13,AEON,"AEON Biopharma, Inc.",27.27,1.4,930221,16300000,2025-10-16
14,EPWK,EPWK Holdings Ltd.,26.47,0.097,220490869,2309999.9999999995,2025-10-16
15,BIAF,"bioAffinity Technologies, Inc.",25.830000000000002,3.41,20418715,15310000,2025-10-16
16,WHWK,"Whitehawk Therapeutics, Inc.",24.29,2.61,94183167,123010000,2025-10-16
17,YGMZ,MingZhu Logistics Holdings Limited,24.05,0.98,1517555,75149999.99999999,2025-10-16
18,LGPS,LogProstyle Inc.,23.32,1.2,451793,28350000,2025-10-16
19,JBHT,"J.B. Hunt Transport Services, Inc.",22.14,169.57,6499308,16150000.000000002,2025-10-16
20,LOBO,Lobo EV Technologies Ltd.,21.51,1.13,16553042,13440000,2025-10-16
